date;pv;market;load;feedin
01/01/2018 00:00;0;0,1197;5,424;0,02977
01/01/2018 01:00;0;0,11078;5,024;0,03465
01/01/2018 02:00;0;0,11219;4,821;0,0222
01/01/2018 03:00;0;0,11001;4,68;0,01176
01/01/2018 04:00;0;0,10791;4,603;0,01218
01/01/2018 05:00;0;0,1129;4,596;0,01176
01/01/2018 06:00;0;0,11909;4,724;0,01071
01/01/2018 07:00;0;0,13513;5,04;0,01491
01/01/2018 08:00;0;0,14078;5,573;0,0126
01/01/2018 09:00;0;0,12322;6,15;0,01512
01/01/2018 10:00;0;0,11565;6,309;0,01428
01/01/2018 11:00;0;0,10159;6,341;0,01731
01/01/2018 12:00;0;0,09814;6,378;0,0228
01/01/2018 13:00;0;0,0972;6,304;0,02087
01/01/2018 14:00;0;0,0972;6,29;0,01898
01/01/2018 15:00;0;0,0999;6,363;0,01281
01/01/2018 16:00;0;0,10791;6,374;0,01785
01/01/2018 17:00;0;0,11731;6,373;0,01543
01/01/2018 18:00;0;0,1212;6,374;0,03264
01/01/2018 19:00;0;0,13571;6,487;0,03455
01/01/2018 20:00;0;0,14747;6,771;0,042
01/01/2018 21:00;0;0,13751;6,858;0,04823
01/01/2018 22:00;0;0,12191;6,409;0,03364
01/01/2018 23:00;0;0,11005;6,055;0,0408
02/01/2018 00:00;0;0,1197;5,424;0,02977
02/01/2018 01:00;0;0,11078;5,024;0,03465
02/01/2018 02:00;0;0,11219;4,821;0,0222
02/01/2018 03:00;0;0,11001;4,68;0,01176
02/01/2018 04:00;0;0,10791;4,603;0,01218
02/01/2018 05:00;0;0,1129;4,596;0,01176
02/01/2018 06:00;0;0,11909;4,724;0,01071
02/01/2018 07:00;0;0,13513;5,04;0,01491
02/01/2018 08:00;0;0,14078;5,573;0,0126
02/01/2018 09:00;0;0,12322;6,15;0,01512
02/01/2018 10:00;0;0,11565;6,309;0,01428
02/01/2018 11:00;0;0,10159;6,341;0,01731
02/01/2018 12:00;0;0,09814;6,378;0,0228
02/01/2018 13:00;0;0,0972;6,304;0,02087
02/01/2018 14:00;0;0,0972;6,29;0,01898
02/01/2018 15:00;0;0,0999;6,363;0,01281
02/01/2018 16:00;0;0,10791;6,374;0,01785
02/01/2018 17:00;0;0,11731;6,373;0,01543
02/01/2018 18:00;0;0,1212;6,374;0,03264
02/01/2018 19:00;0;0,13571;6,487;0,03455
02/01/2018 20:00;0;0,14747;6,771;0,042
02/01/2018 21:00;0;0,13751;6,858;0,04823
02/01/2018 22:00;0;0,12191;6,409;0,03364
02/01/2018 23:00;0;0,11005;6,055;0,0408
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
